Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
aesev_2,adverse_events,,radio,What was the severity of the adverse event?,"1, Mild | 2, Moderate | 3, Severe",The reporting physician/healthcare professional will assess the severity of the event using the sponsor-defined categories. This assessment is subjective and the reporting physician/ healthcare professional should use medical judgment to compare the reported Adverse Event to similar type events observed in clinical practice. Severity is not equivalent to seriousness.,,,,,"[aeterm_1]<>""""",,,,,,
aerel_2,adverse_events,,radio,Is this event related to study treatment?,"1, Definitely | 2, Probably | 3, Possibly | 4, Not Related","Indicate if the cause of the adverse event is related to the study treatment and cannot be reasonably explained by other factors (e.g., subject's clinical state, concomitant therapy, and/or other interventions).",,,,,"[aeterm_1]<>""""",,,,,,
aedis_2,adverse_events,,radio,Did the adverse event cause the subject to be discontinued from the study?,"0, No | 1, Yes",Record if the AE caused the subject to discontinue from the study.,,,,,"[aeterm_1]<>""""",,,,,,
aeterm_3,adverse_events,,text,What is the adverse event term?,,"Record only one diagnosis, sign or symptom per form (e.g., nausea and vomiting should not be recorded in the same entry, but as two separate entries).  See eCRF completion instruction for more information.",,,,,"[aeterm_2]<>""""",,,,,,
aeoccur_3,adverse_events,,radio,Does the subject have (specific adverse event)?,"0, No | 1, Yes",Please indicate if (specific adverse event) has occurred /is occurring by checking Yes or No.,,,,,"[aeterm_2]<>""""",,,,,,
aestdat_3,adverse_events,,text,What is the date the adverse event started?,,Record the start date of the adverse event using the MM-DD-YYYY format.,,,,,"[aeterm_2]<>""""",,,,,,
aeongo_3,adverse_events,,radio,Is the adverse event still ongoing?,"0, No | 1, Yes",Select one.,,,,,"[aeterm_2]<>""""",,,,,,
aeendat_3,adverse_events,,text,What date did the adverse event end?,,Record the end date of the adverse event using the MM-DD-YYYY format.,,,,,"[aeterm_2]<>""""",,,,,,
aesev_3,adverse_events,,radio,What was the severity of the adverse event?,"1, Mild | 2, Moderate | 3, Severe",The reporting physician/healthcare professional will assess the severity of the event using the sponsor-defined categories. This assessment is subjective and the reporting physician/ healthcare professional should use medical judgment to compare the reported Adverse Event to similar type events observed in clinical practice. Severity is not equivalent to seriousness.,,,,,"[aeterm_2]<>""""",,,,,,
aerel_3,adverse_events,,radio,Is this event related to study treatment?,"1, Definitely | 2, Probably | 3, Possibly | 4, Not Related","Indicate if the cause of the adverse event is related to the study treatment and cannot be reasonably explained by other factors (e.g., subject's clinical state, concomitant therapy, and/or other interventions).",,,,,"[aeterm_2]<>""""",,,,,,
aedis_3,adverse_events,,radio,Did the adverse event cause the subject to be discontinued from the study?,"0, No | 1, Yes",Record if the AE caused the subject to discontinue from the study.,,,,,"[aeterm_2]<>""""",,,,,,
aeterm_4,adverse_events,,text,What is the adverse event term?,,"Record only one diagnosis, sign or symptom per form (e.g., nausea and vomiting should not be recorded in the same entry, but as two separate entries).  See eCRF completion instruction for more information.",,,,,"[aeterm_3]<>""""",,,,,,
aeoccur_4,adverse_events,,radio,Does the subject have (specific adverse event)?,"0, No | 1, Yes",Please indicate if (specific adverse event) has occurred /is occurring by checking Yes or No.,,,,,"[aeterm_3]<>""""",,,,,,
aestdat_4,adverse_events,,text,What is the date the adverse event started?,,Record the start date of the adverse event using the MM-DD-YYYY format.,,,,,"[aeterm_3]<>""""",,,,,,
aeongo_4,adverse_events,,radio,Is the adverse event still ongoing?,"0, No | 1, Yes",Select one.,,,,,"[aeterm_3]<>""""",,,,,,
aeendat_4,adverse_events,,text,What date did the adverse event end?,,Record the end date of the adverse event using the MM-DD-YYYY format.,,,,,"[aeterm_3]<>""""",,,,,,
aesev_4,adverse_events,,radio,What was the severity of the adverse event?,"1, Mild | 2, Moderate | 3, Severe",The reporting physician/healthcare professional will assess the severity of the event using the sponsor-defined categories. This assessment is subjective and the reporting physician/ healthcare professional should use medical judgment to compare the reported Adverse Event to similar type events observed in clinical practice. Severity is not equivalent to seriousness.,,,,,"[aeterm_3]<>""""",,,,,,
aerel_4,adverse_events,,radio,Is this event related to study treatment?,"1, Definitely | 2, Probably | 3, Possibly | 4, Not Related","Indicate if the cause of the adverse event is related to the study treatment and cannot be reasonably explained by other factors (e.g., subject's clinical state, concomitant therapy, and/or other interventions).",,,,,"[aeterm_3]<>""""",,,,,,
aedis_4,adverse_events,,radio,Did the adverse event cause the subject to be discontinued from the study?,"0, No | 1, Yes",Record if the AE caused the subject to discontinue from the study.,,,,,"[aeterm_3]<>""""",,,,,,
