Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
headache_sc_3,phq15_3,,radio,e. Headaches,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_3,,
chest_pain_sc_3,phq15_3,,radio,f. Chest pain,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_3,,
dizziness_sc_3,phq15_3,,radio,g. Dizziness,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_3,,
fainting_sc_3,phq15_3,,radio,h. Fainting spells,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_3,,
heart_pound_sc_3,phq15_3,,radio,i. Feeling your heart pound or race,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_3,,
short_of_breath_sc_3,phq15_3,,radio,j. Shortness of breath,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_3,,
sexual_pain_sc_3,phq15_3,,radio,k. Pain or problems during sexual intercourse,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_3,,
bowel_sc_3,phq15_3,,radio,"l. Constipation, loose bowels, or diarrhea","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_3,,
nausea_sc_3,phq15_3,,radio,"m. Nausea, gas, or indigestion","0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_3,,
tired_sc_3,phq15_3,,radio,n. Feeling tired or having low energy,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_3,,
sleep_sc_3,phq15_3,,radio,o. Trouble sleeping,"0, Not bothered at all | 1, Bothered a little | 2, Bothered a lot",,,,,,,,,,survey_matrix_3,,
